~/workspace/go/src/osdrv/liss/liss -src ./main.liss
[left]: collect 9226492264
[left]: collect 9226592265
[left]: collect 9226692266
[left]: collect 4242
[left]: collect 4343
[left]: collect 4444
[left]: collect 4545
[left]: collect 4646
[left]: collect 4747
[left]: collect 4848
[left]: collect 4949
[left]: collect 5050
[left]: collect 5151
[left]: collect 5252
[left]: collect 5353
[left]: collect 5454
[left]: collect 5555
[left]: collect 5656
[left]: collect 5757
[left]: collect 5858
[left]: collect 5959
[left]: collect 6060
[left]: collect 6161
[left]: collect 6262
[left]: collect 6363
[left]: collect 687687
[left]: collect 688688
[left]: collect 689689
[left]: collect 690690
[left]: collect 691691
[left]: collect 692692
[left]: collect 693693
[left]: collect 694694
[left]: collect 695695
[left]: collect 696696
[left]: collect 697697
[left]: collect 698698
[left]: collect 699699
[left]: collect 700700
[left]: collect 701701
[left]: collect 702702
[left]: collect 703703
[left]: collect 704704
[left]: collect 705705
[left]: collect 706706
[left]: collect 707707
[left]: collect 708708
[left]: collect 709709
[left]: collect 710710
[left]: collect 711711
[left]: collect 712712
[left]: collect 713713
[left]: collect 714714
[left]: collect 715715
[left]: collect 716716
[left]: collect 717717
[left]: collect 718718
[left]: collect 719719
[left]: collect 720720
[left]: collect 721721
[left]: collect 722722
[left]: collect 723723
[left]: collect 724724
[left]: collect 725725
[left]: collect 726726
[left]: collect 727727
[left]: collect 728728
[left]: collect 729729
[left]: collect 730730
[left]: collect 731731
[left]: collect 732732
[left]: collect 733733
[left]: collect 734734
[left]: collect 735735
[left]: collect 736736
[left]: collect 737737
[left]: collect 738738
[left]: collect 739739
[left]: collect 740740
[left]: collect 741741
[left]: collect 742742
[left]: collect 743743
[left]: collect 744744
[left]: collect 745745
[left]: collect 746746
[left]: collect 747747
[left]: collect 748748
[left]: collect 749749
[left]: collect 750750
[left]: collect 751751
[left]: collect 752752
[left]: collect 753753
[left]: collect 754754
[left]: collect 755755
[left]: collect 756756
[left]: collect 757757
[left]: collect 758758
[left]: collect 759759
[left]: collect 760760
[left]: collect 761761
[left]: collect 762762
[left]: collect 763763
[left]: collect 764764
[left]: collect 765765
[left]: collect 766766
[left]: collect 767767
[left]: collect 768768
[left]: collect 769769
[left]: collect 770770
[left]: collect 771771
[left]: collect 772772
[left]: collect 773773
[left]: collect 774774
[left]: collect 775775
[left]: collect 776776
[left]: collect 777777
[left]: collect 778778
[left]: collect 779779
[left]: collect 780780
[left]: collect 781781
[left]: collect 782782
[left]: collect 783783
[left]: collect 784784
[left]: collect 785785
[left]: collect 786786
[left]: collect 787787
[left]: collect 788788
[left]: collect 789789
[left]: collect 790790
[left]: collect 791791
[left]: collect 792792
[left]: collect 793793
[left]: collect 794794
[left]: collect 795795
[left]: collect 796796
[left]: collect 797797
[left]: collect 798798
[left]: collect 799799
[left]: collect 800800
[left]: collect 801801
[left]: collect 802802
[left]: collect 803803
[left]: collect 804804
[left]: collect 805805
[left]: collect 806806
[left]: collect 807807
[left]: collect 808808
[left]: collect 809809
[left]: collect 810810
[left]: collect 811811
[left]: collect 812812
[left]: collect 813813
[left]: collect 814814
[left]: collect 815815
[left]: collect 816816
[left]: collect 817817
[left]: collect 818818
[left]: collect 819819
[left]: collect 820820
[left]: collect 821821
[left]: collect 822822
[left]: collect 823823
[left]: collect 824824
[left]: collect 825825
[left]: collect 826826
[left]: collect 827827
[left]: collect 828828
[left]: collect 829829
[left]: collect 830830
[left]: collect 831831
[left]: collect 832832
[left]: collect 833833
[left]: collect 834834
[left]: collect 835835
[left]: collect 519519
[left]: collect 520520
[left]: collect 521521
[left]: collect 522522
[left]: collect 523523
[left]: collect 524524
[left]: collect 525525
[left]: collect 526526
[left]: collect 527527
[left]: collect 528528
[left]: collect 529529
[left]: collect 530530
[left]: collect 531531
[left]: collect 532532
[left]: collect 533533
[left]: collect 534534
[left]: collect 535535
[left]: collect 536536
[left]: collect 537537
[left]: collect 538538
[left]: collect 539539
[left]: collect 540540
[left]: collect 541541
[left]: collect 542542
[left]: collect 543543
[left]: collect 544544
[left]: collect 545545
[left]: collect 546546
[left]: collect 547547
[left]: collect 548548
[left]: collect 549549
[left]: collect 550550
[left]: collect 551551
[left]: collect 552552
[left]: collect 553553
[left]: collect 554554
[left]: collect 555555
[left]: collect 556556
[left]: collect 557557
[left]: collect 558558
[left]: collect 559559
[left]: collect 560560
[left]: collect 561561
[left]: collect 562562
[left]: collect 563563
[left]: collect 564564
[left]: collect 565565
[left]: collect 566566
[left]: collect 567567
[left]: collect 568568
[left]: collect 569569
[left]: collect 570570
[left]: collect 571571
[left]: collect 572572
[left]: collect 573573
[left]: collect 574574
[left]: collect 575575
[left]: collect 576576
[left]: collect 577577
[left]: collect 578578
[left]: collect 579579
[left]: collect 580580
[left]: collect 581581
[left]: collect 582582
[left]: collect 583583
[left]: collect 584584
[left]: collect 585585
[left]: collect 586586
[left]: collect 587587
[left]: collect 588588
[left]: collect 589589
[left]: collect 590590
[left]: collect 591591
[left]: collect 592592
[left]: collect 593593
[left]: collect 594594
[left]: collect 595595
[left]: collect 596596
[left]: collect 597597
[left]: collect 598598
[left]: collect 599599
[left]: collect 600600
[left]: collect 601601
[left]: collect 602602
[left]: collect 603603
[left]: collect 604604
[left]: collect 605605
[left]: collect 606606
[left]: collect 607607
[left]: collect 608608
[left]: collect 609609
[left]: collect 610610
[left]: collect 611611
[left]: collect 612612
[left]: collect 613613
[left]: collect 614614
[left]: collect 615615
[left]: collect 616616
[left]: collect 617617
[left]: collect 618618
[left]: collect 619619
[left]: collect 620620
[left]: collect 621621
[left]: collect 622622
[left]: collect 623623
[left]: collect 624624
[left]: collect 625625
[left]: collect 626626
[left]: collect 627627
[left]: collect 628628
[left]: collect 629629
[left]: collect 630630
[left]: collect 631631
[left]: collect 632632
[left]: collect 633633
[left]: collect 356356
[left]: collect 357357
[left]: collect 358358
[left]: collect 359359
[left]: collect 360360
[left]: collect 361361
[left]: collect 362362
[left]: collect 363363
[left]: collect 364364
[left]: collect 365365
[left]: collect 366366
[left]: collect 367367
[left]: collect 368368
[left]: collect 369369
[left]: collect 370370
[left]: collect 371371
[left]: collect 372372
[left]: collect 373373
[left]: collect 374374
[left]: collect 375375
[left]: collect 376376
[left]: collect 377377
[left]: collect 378378
[left]: collect 379379
[left]: collect 380380
[left]: collect 381381
[left]: collect 382382
[left]: collect 383383
[left]: collect 384384
[left]: collect 385385
[left]: collect 386386
[left]: collect 387387
[left]: collect 388388
[left]: collect 389389
[left]: collect 390390
[left]: collect 391391
[left]: collect 392392
[left]: collect 393393
[left]: collect 394394
[left]: collect 395395
[left]: collect 396396
[left]: collect 397397
[left]: collect 398398
[left]: collect 399399
[left]: collect 400400
[left]: collect 401401
[left]: collect 402402
[left]: collect 403403
[left]: collect 404404
[left]: collect 405405
[left]: collect 406406
[left]: collect 407407
[left]: collect 408408
[left]: collect 409409
[left]: collect 410410
[left]: collect 411411
[left]: collect 412412
[left]: collect 413413
[left]: collect 414414
[left]: collect 415415
[left]: collect 416416
[left]: collect 417417
[left]: collect 418418
[left]: collect 419419
[left]: collect 420420
[left]: collect 421421
[left]: collect 422422
[left]: collect 423423
[left]: collect 424424
[left]: collect 425425
[left]: collect 426426
[left]: collect 427427
[left]: collect 428428
[left]: collect 429429
[left]: collect 430430
[left]: collect 431431
[left]: collect 432432
[left]: collect 433433
[left]: collect 434434
[left]: collect 435435
[left]: collect 436436
[left]: collect 437437
[left]: collect 438438
[left]: collect 439439
[left]: collect 440440
[left]: collect 441441
[left]: collect 442442
[left]: collect 443443
[left]: collect 444444
[left]: collect 445445
[left]: collect 446446
[left]: collect 447447
[left]: collect 448448
[left]: collect 449449
[left]: collect 450450
[left]: collect 451451
[left]: collect 452452
[left]: collect 453453
[left]: collect 454454
[left]: collect 455455
[left]: collect 456456
[left]: collect 457457
[left]: collect 458458
[left]: collect 459459
[left]: collect 460460
[left]: collect 461461
[left]: collect 462462
[left]: collect 463463
[left]: collect 464464
[left]: collect 465465
[left]: collect 466466
[left]: collect 467467
[left]: collect 468468
[left]: collect 469469
[left]: collect 470470
[left]: collect 471471
[left]: collect 971971
[left]: collect 972972
[left]: collect 973973
[left]: collect 974974
[left]: collect 975975
[left]: collect 976976
[left]: collect 977977
[left]: collect 978978
[left]: collect 979979
[left]: collect 980980
[left]: collect 981981
[left]: collect 982982
[left]: collect 983983
[left]: collect 984984
[left]: collect 985985
[left]: collect 986986
[left]: collect 987987
[left]: collect 988988
[left]: collect 989989
[left]: collect 990990
[left]: collect 991991
[left]: collect 992992
[left]: collect 993993
[left]: collect 994994
[left]: collect 995995
[left]: collect 996996
[left]: collect 997997
[left]: collect 998998
[left]: collect 999999
[left]: collect 15141514
[left]: collect 15151515
[left]: collect 15161516
[left]: collect 156156
[left]: collect 157157
[left]: collect 158158
[left]: collect 159159
[left]: collect 160160
[left]: collect 161161
[left]: collect 162162
[left]: collect 163163
[left]: collect 164164
[left]: collect 165165
[left]: collect 166166
[left]: collect 167167
[left]: collect 168168
[left]: collect 169169
[left]: collect 170170
[left]: collect 171171
[left]: collect 172172
[left]: collect 173173
[left]: collect 174174
[left]: collect 175175
[left]: collect 176176
[left]: collect 177177
[left]: collect 178178
[left]: collect 179179
[left]: collect 180180
[left]: collect 181181
[left]: collect 182182
[left]: collect 183183
[left]: collect 184184
[left]: collect 185185
[left]: collect 186186
[left]: collect 187187
[left]: collect 188188
[left]: collect 189189
[left]: collect 190190
[left]: collect 191191
[left]: collect 192192
[left]: collect 193193
[left]: collect 194194
[left]: collect 195195
[left]: collect 196196
[left]: collect 197197
[left]: collect 198198
[left]: collect 199199
[left]: collect 200200
[left]: collect 201201
[left]: collect 202202
[left]: collect 203203
[left]: collect 204204
[left]: collect 205205
[left]: collect 206206
[left]: collect 207207
[left]: collect 208208
[left]: collect 209209
[left]: collect 210210
[left]: collect 211211
[left]: collect 212212
[left]: collect 213213
[left]: collect 214214
[left]: collect 215215
[left]: collect 216216
[left]: collect 217217
[left]: collect 218218
[left]: collect 219219
[left]: collect 220220
[left]: collect 221221
[left]: collect 222222
[left]: collect 223223
[left]: collect 224224
[left]: collect 225225
[left]: collect 226226
[left]: collect 227227
